Home_ID,State,City,Month,Avg_Daily_Temp,Area_sqm,Occupants,Has_Solar_Panels,Has_Battery_Storage,Energy_Efficiency_Rating,Appliance_Efficiency,Monthly_Consumption_kWh,Monthly_Cost
26,NSW,Sydney,12,17.6,299.06,4,0,0,B,0.64,13807.9,914.12
27,NSW,Sydney,3,20.3,274.28,1,0,0,B,0.95,5508.68,364.37
28,NSW,Sydney,4,18.8,143.07,1,0,0,B,0.77,5176.66,341.79
29,NSW,Sydney,6,15.5,298.61,4,0,0,C,,8991.59,596.51
30,NSW,Sydney,8,19.5,214.4,1,0,0,D,0.63,7475.59,496.45
31,NSW,Sydney,6,20.8,171.69,3,0,0,D,0.83,8194.63,543.98
32,NSW,Sydney,1,17,230.61,3,0,0,A,1,8512.01,563.79
33,NSW,Sydney,5,21.8,236.93,5,1,0,E,0.98,6951.16,460.71
34,NSW,Sydney,1,15.8,126.42,1,0,0,C,0.97,8413.21,557.4
35,NSW,Sydney,10,22.3,67.6,2,0,1,B,0.76,6236.96,412.64
36,NSW,Sydney,2,18.2,262.17,1,0,0,B,0.9,6367.39,421.18
37,NSW,Sydney,3,15.6,202.88,4,0,0,D,0.82,14308.72,943.18
38,NSW,Sydney,12,23.9,56.9,2,0,0,A,0.73,7090.83,470.93
39,NSW,Sydney,6,16.9,57.63,4,0,0,C,0.66,8695.49,573.7
40,NSW,Sydney,8,18.7,103.96,5,0,0,B,0.71,9590.49,632.84
41,NSW,Sydney,3,19.4,231.52,5,1,0,A,0.7,5819.4,381.95
42,NSW,Sydney,3,17.4,69.61,5,0,0,C,0.84,13348.65,880.01
43,NSW,Sydney,1,16.7,89.11,2,0,0,B,0.97,8132.3,538.73
44,NSW,Sydney,1,24.5,234.47,5,0,0,B,0.68,15912.74,1049.04
45,NSW,Sydney,5,14.2,135.47,4,0,0,E,0.85,12816.4,844.95
46,NSW,Sydney,12,15.2,240.84,5,0,0,C,,17914.34,1183.48
47,NSW,Sydney,10,22.5,271.67,4,0,0,C,0.93,12104.26,796.68
48,NSW,Sydney,5,19.8,203.96,2,0,0,E,0.79,9434.08,621.45
49,NSW,Sydney,2,20.7,82.13,5,0,1,C,0.98,9846.51,652.8
50,NSW,Sydney,10,15.1,118.49,4,0,0,A,0.84,9151.35,607.05
51,NSW,Sydney,1,21.6,146.35,2,0,0,B,0.56,9606.81,636.18
52,NSW,Sydney,5,16.5,284.16,4,0,1,C,0.71,8457.29,556.05
53,NSW,Sydney,8,19.1,297.63,4,0,0,C,0.97,9351.67,616.21
54,NSW,Sydney,5,15.4,219.96,1,0,0,C,0.75,6473.27,428.24
55,NSW,Sydney,9,16.2,273.88,1,0,1,D,0.68,7837.95,519.11
56,NSW,Sydney,12,24.5,287.65,3,0,0,A,0.8,9761.54,642.26
57,NSW,Sydney,4,19.7,238.09,1,0,1,E,1,6190.12,406.55
58,NSW,Sydney,10,17.4,271.93,3,0,1,D,0.92,10795.97,710.4
59,NSW,Sydney,1,16,71.03,5,0,0,E,0.57,21386,1409.61
60,NSW,Sydney,5,15.3,195.33,5,0,0,E,0.99,13667.11,903.03
61,NSW,Sydney,4,16.5,227.05,3,0,0,C,0.95,9466.4,624.85
62,NSW,Sydney,7,15.3,113.42,2,0,0,B,0.56,5867.23,386.17
63,NSW,Sydney,9,20.4,220.26,4,1,0,B,0.93,5438.66,361.82
64,NSW,Sydney,6,15.4,250.53,5,1,0,E,0.76,6554.63,434.41
65,NSW,Sydney,11,22.2,113.25,3,1,0,D,0.85,7411.07,489.26
66,NSW,Sydney,1,21.3,196.08,,1,1,A,0.7,3447.18,228.65
67,NSW,Sydney,8,17.2,119.35,4,0,0,B,0.63,8846.41,584.66
68,NSW,Sydney,5,22.7,296.55,1,0,0,D,0.64,7986.81,528
69,NSW,Sydney,3,21.2,287.45,5,0,0,E,0.93,16460.09,1089.23
70,NSW,Sydney,5,13.3,144.12,1,0,1,C,0.87,4734.41,313.27
71,NSW,Sydney,9,22.7,260.53,5,0,0,B,0.51,12098.16,798.35
72,NSW,Sydney,7,19.6,253.23,5,1,0,D,0.97,5098.33,339.62
73,NSW,Sydney,10,16.8,110.27,1,0,1,D,0.61,8170.49,538.38
74,NSW,Sydney,1,22.6,61.72,2,0,0,D,0.65,12919.87,854.78
75,NSW,Sydney,1,20.5,190.23,3,0,0,A,0.88,8399,557.4
76,NSW,Sydney,5,19.4,251.26,4,1,0,D,0.78,7401,490.27
77,NSW,Sydney,3,22,137.06,1,0,0,D,0.93,8446.03,560.44
78,NSW,Sydney,5,21,164.84,1,0,0,C,0.99,5325.01,352.38
79,NSW,Sydney,5,16.5,102.28,3,0,0,B,0.56,7812.58,515.63
80,NSW,Sydney,11,14.4,210.22,4,0,0,C,0.83,14236.86,937.76
81,NSW,Sydney,2,21,105.96,5,0,0,B,0.54,13688.02,901.28
82,NSW,Sydney,1,20.3,139,2,0,0,C,0.55,11189.12,738.35
83,NSW,Sydney,9,19.9,177.91,3,1,0,B,0.9,5502.04,361.94
84,NSW,Sydney,1,21,296.56,2,0,0,D,0.53,13832.81,912.83
85,NSW,Sydney,11,15.5,228.34,3,0,0,C,0.77,12441.65,821.02
86,NSW,Sydney,9,20.4,95.57,1,1,0,C,0.62,3715.68,245.04
87,NSW,Sydney,4,17.7,138.78,1,0,0,C,0.79,6631.42,437.81
88,NSW,Sydney,8,16.9,191.11,2,0,0,D,0.79,8671.75,570.14
89,NSW,Sydney,8,16,132.59,1,0,0,B,0.62,5218.63,345.3
90,NSW,Sydney,4,21.5,71.97,,0,0,C,0.99,5790.96,382.14
91,NSW,Sydney,6,15,292.37,4,0,1,C,0.86,6588.69,436.92
92,NSW,Sydney,9,20.2,183.76,2,0,0,B,0.66,6844.41,449.53
93,NSW,Sydney,3,15,234.06,4,0,0,B,0.79,11368.4,748.12
94,NSW,Sydney,11,22.3,130.16,3,0,0,B,0.53,10704.13,709.27
95,NSW,Sydney,12,17,221.14,4,0,0,D,0.8,16873.07,1115.49
96,NSW,Sydney,8,17.1,248.57,1,1,0,C,0.97,3206.98,209.66
97,NSW,Sydney,11,22.4,95.31,3,1,0,A,0.89,3881.45,254.04
98,NSW,Sydney,11,21,100.41,3,0,0,D,0.76,12929.82,851.17
99,NSW,Sydney,4,16.2,197.08,2,1,0,C,0.73,5636.17,372.92
100,NSW,Sydney,6,16.4,159.69,1,0,0,C,0.77,5381.67,356.06
101,NSW,Sydney,8,13.3,185.71,3,0,0,B,0.9,7584.59,500.38
102,NSW,Sydney,1,20.3,273.47,4,1,0,D,0.89,11056.1,732.64
103,NSW,Sydney,1,15.3,192.47,2,0,0,B,0.77,9538.66,627.68
104,NSW,Sydney,4,17.6,200.99,5,0,0,C,0.89,12197.38,803.09
105,NSW,Sydney,11,19.4,223.49,4,0,0,D,0.98,14169.56,938.32
106,NSW,Sydney,8,16.8,150.21,2,1,0,C,0.75,4720.15,309.4
107,NSW,Sydney,9,15.6,231.52,3,1,0,D,0.96,6833.04,451.05
108,NSW,Sydney,8,17.5,242.81,2,0,0,B,0.92,5851.48,385.33
109,NSW,Sydney,11,17.5,78.31,5,0,0,D,0.67,17005.29,1120.48
110,NSW,Sydney,6,16.2,-197.82,5,0,0,B,0.89,8604.15,567.87
111,NSW,Sydney,10,16.3,149.54,1,1,1,C,0.74,4221.7,279.63
112,NSW,Sydney,11,17.5,106.15,4,1,0,C,0.58,10245.14,674.25
113,NSW,Sydney,5,22.1,140.6,3,0,0,D,0.59,10129.74,671.56
114,NSW,Sydney,4,17.6,189.33,4,0,0,B,,10012.89,659.98
115,NSW,Sydney,7,15.3,249.95,5,0,0,D,0.79,11392.99,750.07
116,NSW,Sydney,1,22.8,163.32,2,0,0,C,0.88,10579.07,697.35
117,NSW,Sydney,4,14.8,265.45,3,0,0,D,0.7,12118.29,802.81
118,NSW,Sydney,7,20.8,-259.95,5,0,0,B,0.6,8877.67,583.79
119,NSW,Sydney,8,12,249.98,3,1,0,D,0.9,5464.94,359.82
120,NSW,Sydney,8,18.2,263.92,3,1,1,B,0.7,4461.65,293.34
121,NSW,Sydney,7,20,53.25,1,0,0,B,0.79,3704.82,245.39
122,NSW,Sydney,12,22,277.66,5,0,0,C,0.8,16767.36,1106.45
123,NSW,Sydney,12,23.3,136.3,1,0,0,E,0.88,12495.38,825.76
124,NSW,Sydney,8,12.1,191.44,3,1,0,C,0.51,7160.02,470.63
125,NSW,Sydney,9,18.4,208.37,1,0,0,E,0.76,9606.54,633.16
126,NSW,Sydney,2,17.7,54.6,2,0,0,C,0.53,10438.31,689.06
127,NSW,Sydney,5,19.5,257.44,5,0,0,E,0.94,12889.47,851.71
128,NSW,Sydney,8,13.5,208.27,5,0,1,C,0.69,10684.76,704.26
129,NSW,Sydney,10,17.2,138.47,3,0,0,D,0.53,,859.03
130,NSW,Sydney,11,15.9,138.92,1,0,0,E,0.7,,810.41
131,NSW,Sydney,8,20.4,233.14,1,0,0,B,0.92,4386.35,289.5
132,NSW,Sydney,1,20,199.21,2,0,0,C,0.68,10869.16,717.36
133,NSW,Sydney,1,20,222.1,2,0,0,A,0.5,7999.56,527.97
134,NSW,Sydney,3,15.7,197.56,3,0,0,E,0.9,14001.45,924.1
135,NSW,Sydney,9,17.5,96.28,3,0,0,D,0.85,10620.7,700.97
136,NSW,Sydney,6,20.8,275.84,4,0,1,E,0.52,8326.53,549.55
137,NSW,Sydney,10,18.9,299.84,2,0,1,A,0.85,4989,329.27
138,NSW,Sydney,9,14.9,78.82,3,1,0,E,0.92,7083.31,467.5
139,NSW,Sydney,2,20.2,211.14,3,0,0,E,0.77,14714.39,971.15
140,NSW,Sydney,10,20.2,66.34,1,0,0,D,0.76,8452.7,557.88
141,NSW,Sydney,10,21.8,154.38,3,1,0,E,0.76,8978.89,592.61
142,NSW,Sydney,3,13.7,52.37,5,0,0,C,0.81,14330.73,945.83
143,NSW,Sydney,8,13.7,149.57,1,0,0,D,0.5,8511.4,561.75
144,NSW,Sydney,8,13.9,124.08,5,0,0,E,0.71,14579.03,962.22
145,NSW,Sydney,1,18.9,81.11,3,1,0,A,0.71,4490.89,296.4
146,NSW,Sydney,8,19.8,200.2,5,1,0,A,0.7,5177.49,341.71
147,NSW,Sydney,6,17.1,178.17,2,0,0,A,0.98,3772.99,249.02
148,NSW,Sydeny,8,14.5,64.46,1,0,0,C,0.63,6485.4,428.04
149,NSW,Sydney,3,20.6,224.01,3,1,0,B,0.77,4952.45,326.86
150,NSW,Sydney,9,21.9,265.03,3,1,0,B,0.94,4011.68,264.77
151,NSW,Sydney,9,21.5,58.86,1,0,0,C,0.69,6587.8,434.79
152,NSW,Sydney,8,18,62.2,2,0,0,D,0.54,8791.41,580.23
153,NSW,Sydney,1,15.6,270.73,5,1,0,D,0.77,11891.71,784.85
154,NSW,Sydney,1,23.8,249.36,4,1,0,D,0.92,12038.22,794.52
155,NSW,Sydney,9,22.3,76.46,3,0,0,E,0.94,11682.19,771.02
156,NSW,Sydney,3,21.8,51.29,3,0,1,A,0.78,6051.29,399.39
157,NSW,Sydney,12,15.1,121.76,3,1,0,B,0.82,8597.44,567.43
158,NSW,Sydney,8,19.2,82.11,3,0,0,E,0.67,10758.49,710.06
159,NSW,Sydney,12,16.8,238.42,4,0,0,E,0.58,19758.81,1304.08
160,NSW,Sydney,12,15.7,195.54,1,0,0,E,1,12493.28,824.56
161,NSW,Sydney,12,22.5,82.52,5,0,0,D,0.69,18493.73,1220.59
162,NSW,Sydney,3,15.5,50.26,,0,1,C,0.73,6829.06,450.72
163,NSW,Sydney,7,16.3,256.48,3,0,0,D,0.83,8855.78,584.48
164,NSW,Sydney,11,21.7,290.81,4,0,1,E,0.98,14177.32,935.7
165,NSW,Sydney,3,15.7,295.99,1,0,0,D,0.6,10412.54,687.23
166,NSW,Sydney,1,21.5,142.13,4,0,1,B,0.93,,700.88
167,NSW,Sydney,5,14.5,163.42,2,0,0,B,0.52,7042.07,464.78
168,NSW,Sydney,12,24.7,96.36,1,0,0,D,0.62,11722.1,773.66
169,NSW,Sydney,9,15,172.9,5,0,0,C,0.73,13195.41,870.9
170,NSW,Sydney,8,15.6,220.11,,0,0,B,0.85,6188.83,408.46
171,NSW,Sydney,1,24.5,276.95,3,0,0,B,0.99,10935.99,721.78
172,NSW,Sydney,6,17.2,225.62,2,0,1,A,0.77,3570.11,235.63
173,NSW,Sydney,9,16.5,58.3,4,0,0,E,0.6,14324.53,945.42
174,NSW,Sydney,10,21,100.04,4,0,0,D,0.52,14014.92,924.98
175,NSW,Sydney,6,17.2,203.24,1,0,0,D,0.9,6216.47,410.29
176,NSW,Sydney,11,17.8,215.21,4,0,0,C,0.52,14453.34,953.92
177,NSW,Sydney,12,22.3,70.41,4,0,0,E,0.61,18678.92,1232.81
178,NSW,Sydney,7,15.7,236.07,5,0,0,C,0.78,10162.51,670.73
179,NSW,Sydney,2,21.5,133.08,1,0,0,C,0.61,8575.95,566.01
180,NSW,Sydney,6,11.3,114.42,4,0,1,C,0.92,7805.47,515.16
181,NSW,Sydney,5,16.5,142.76,4,0,0,C,0.79,9893.89,653
182,NSW,Sydney,10,20.3,171.67,2,0,0,D,1,9572.1,631.76
183,NSW,Sydney,10,22.1,102.67,5,0,0,B,0.89,11605.81,765.98
184,NSW,Sydney,4,22.1,94.92,4,0,0,C,0.53,11436.25,754.79
185,NSW,Sydney,9,15.5,267.69,1,0,0,D,0.66,9145.93,603.63
186,NSW,Sydney,12,17.6,214.18,1,0,0,E,0.73,13145.11,867.58
187,NSW,Sydney,11,21.8,160.51,2,0,0,B,0.72,8343.62,550.68
188,NSW,Sydney,8,17.2,226.69,4,0,0,C,0.77,10027.84,661.84
189,NSW,Sydney,1,23.4,251.42,4,1,0,C,0.52,11366.78,750.21
190,NSW,Sydney,2,16.2,107.78,2,0,0,C,0.97,9366.23,618.17
191,NSW,Sydney,5,14,196.17,4,0,1,E,0.5,11264.87,743.48
192,NSW,Sydney,2,18.2,293.27,3,0,0,B,0.51,11224.84,740.84
193,NSW,Sydney,4,20,100.46,2,0,0,B,0.62,6697.24,442.02
194,NSW,Sydeny,6,13.6,215.41,2,0,0,B,0.92,5437.37,358.87
195,NSW,Sydney,8,18.7,78.28,1,0,0,B,0.83,4304.96,284.13
196,NSW,Sydney,5,19.7,194.3,4,0,0,C,0.93,9088.53,599.84
197,NSW,Sydney,9,21.7,245.6,5,0,0,D,0.88,13583.78,896.53
198,NSW,Sydney,4,19.7,251.96,2,1,0,E,0.69,6847.04,451.9
199,NSW,Sydney,6,17.5,132.1,1,0,0,D,0.69,6487.33,428.16
200,NSW,Sydney,9,19,186.42,3,0,0,D,0.83,10620.58,700.96
201,NSW,Sydney,10,20.6,175.11,5,1,0,C,0.51,11328.48,747.68
202,NSW,Sydeny,10,14.1,87.25,5,0,0,C,0.77,14480.06,955.68
203,NSW,Sydney,2,22.2,180.31,5,0,0,D,0.95,16296.86,1075.59
204,NSW,Sydney,9,19.5,145.02,4,1,0,B,0.74,5430.93,358.44
205,NSW,Sydney,5,15.8,126.82,4,0,0,D,0.86,11100.56,732.64
206,NSW,Sydney,1,24.8,255.79,3,0,0,D,0.59,16436.54,1084.81
207,NSW,Sydney,8,18.9,96.31,4,0,0,D,0.69,10807.8,713.31
208,NSW,Sydney,10,14.1,50.65,5,1,0,B,0.81,6977.4,460.51
209,NSW,Sydney,10,16.6,276.47,1,0,0,B,0.91,5980.17,394.69
210,NSW,Sydney,12,21.7,252.38,3,0,0,C,0.58,13670.07,902.22
211,NSW,Sydney,3,21.7,168.22,5,0,0,D,0.8,15101.22,996.68
212,NSW,Sydney,11,15.3,147.73,5,0,0,B,0.8,13891.07,916.81
213,NSW,Sydney,2,19,157.05,1,0,1,B,0.55,5813.02,383.66
214,NSW,Sydney,10,16.4,276.38,5,0,0,E,0.6,18255.24,1204.85
215,NSW,Sydeny,8,14.7,135.89,4,0,0,D,0.53,12225.87,806.91
216,NSW,Sydney,5,15.7,198.2,3,0,0,C,0.83,8778.88,579.41
217,NSW,Sydney,7,14.8,140.74,3,0,0,A,0.78,5473.14,361.23
218,NSW,Sydney,4,22.6,208.74,1,0,0,C,0.91,6529.34,430.94
219,NSW,Sydney,12,185,216.23,4,0,0,B,0.99,11962.86,789.55
220,NSW,Sydney,6,20.9,281.75,4,0,0,A,0.63,6737.81,444.7
221,NSW,Sydney,8,18.6,81.93,4,0,0,A,0.65,7233.66,477.42
222,NSW,Sydney,2,18.4,145.23,2,1,0,C,0.7,6410.4,423.09
223,NSW,Sydney,7,20.4,268.33,,0,0,C,0.7,7553.44,498.53
224,NSW,Sydney,12,24.3,79.09,2,0,0,C,0.86,10630.55,701.62
225,NSW,Sydney,3,20.9,126.17,1,0,0,B,0.61,6157.38,406.39
226,NSW,Sydney,4,18.7,283.18,2,0,0,E,0.74,11200.42,739.23
227,NSW,Sydney,6,19.3,129.38,3,0,0,F,0.53,7664.52,505.86
228,NSW,Sydney,2,20.1,108.14,5,0,1,C,0.66,10335.03,682.11
229,NSW,Sydney,4,17.4,76.42,5,0,0,C,0.69,12459.19,822.31
230,NSW,Sydney,5,20.8,164.95,2,0,0,D,0.65,8570.85,565.68
231,NSW,Sydeny,7,13.4,85.56,1,0,0,B,0.85,4125.77,272.3
232,NSW,Sydney,1,20.1,299.17,1,0,0,B,0.83,7103.19,468.81
233,NSW,Sydney,6,15.3,82.68,4,0,0,C,0.76,8782.23,579.63
234,NSW,Sydney,6,19.3,233.4,5,0,0,C,0.51,10058.01,663.83
235,NSW,Sydney,5,20.6,84.28,5,0,0,B,0.99,8729.79,576.17
236,NSW,Sydney,2,15.6,60.66,1,0,0,C,0.92,7685.83,507.26
237,NSW,Sydney,7,12.5,81.8,,0,0,C,0.69,6983.7,460.92
238,NSW,Sydney,4,21.6,148.1,2,1,1,D,0.66,5096.22,336.35
239,NSW,Sydney,1,23.1,69.1,1,1,0,E,0.73,7741.93,510.97
240,NSW,Sydney,11,18,146.59,1,0,0,C,0.58,8808.54,581.36
241,NSW,Sydney,12,20.1,220.06,5,0,0,D,0.9,17386.92,1147.54
242,NSW,Sydney,3,13.1,289.13,5,0,0,E,0.99,18091.23,1194.02
243,NSW,Sydney,3,19.6,96.3,3,0,0,D,0.53,12296.49,811.57
244,NSW,Sydney,10,13.2,70.54,4,1,0,B,0.99,7439.75,491.02
245,NSW,Sydney,2,15.1,113.85,4,0,0,C,0.52,14833.66,979.02
246,NSW,Sydeny,2,18.2,81.31,3,1,0,C,0.87,6095,402.27
247,NSW,Sydney,12,16.6,60.93,1,1,0,C,0.72,5878.18,387.96
248,NSW,Sydney,12,18.9,90.92,4,0,0,F,0.94,11592.86,765.13
249,NSW,Sydney,8,20.9,217.86,1,0,0,D,0.61,7593.12,501.15
250,NSW,Sydney,8,18.5,189.45,4,0,0,D,0.63,11270.96,743.88
251,NSW,Sydney,12,15.4,91.2,5,0,0,E,0.74,21036.64,1388.42
252,NSW,Sydney,7,19.4,233.2,3,0,0,D,0.55,8890.14,586.75
253,NSW,Sydney,7,17.9,268.33,1,0,0,C,0.5,6057.66,399.81
254,NSW,Sydney,1,22.4,270.36,4,0,0,D,0.6,17620.33,1162.94
255,NSW,Sydney,10,20.4,253.78,3,0,0,D,0.78,12016.71,793.1
256,NSW,Sydney,6,19.5,259.99,4,0,0,E,0.68,10774.66,711.13
257,NSW,Sydney,11,20.6,260.49,3,1,0,C,0.86,7382.01,487.21
258,NSW,Sydney,8,13.2,84.46,5,0,0,A,0.58,9554.56,630.6
259,NSW,Sydney,12,22.9,73.25,4,0,0,B,0.61,13190.83,870.59
260,NSW,Sydney,4,18.6,200.87,2,0,0,A,0.66,5664.64,373.87
261,NSW,Sydney,3,13.6,133.56,2,0,0,C,0.72,9859.49,650.73
262,NSW,Sydney,4,14.2,233.88,1,0,0,C,0.87,7122.84,470.11
263,NSW,Sydney,11,20.3,124.86,1,0,0,D,0.56,10174.72,671.53
264,NSW,Sydney,6,20.9,236.8,1,1,0,C,0.99,3588.65,236.85
265,NSW,Sydney,3,13.3,56.05,5,0,1,D,0.53,13937.3,919.86
266,NSW,Sydney,3,17.3,-268.18,5,0,0,C,0.97,13590.85,897
267,NSW,Sydney,4,14.3,70.15,2,1,0,A,0.53,4774.65,315.13
268,NSW,Sydney,12,16.3,149.71,4,0,1,A,0.53,10059.86,663.95
269,NSW,Sydney,6,13.6,111.74,4,0,1,C,0.71,6782.83,447.67
270,NSW,Sydney,9,20.8,66.34,5,1,0,D,0.78,9177.53,605.72
271,NSW,Sydney,5,18.3,152.77,2,0,0,B,0.94,5491.21,362.42
272,NSW,Sydney,5,13.5,154.7,1,0,1,B,0.86,3642.02,240.37
273,NSW,Sydney,5,18.7,165.98,1,1,1,B,0.51,2673.45,176.45
274,NSW,Sydney,5,15.3,112.74,1,0,0,E,0.86,8540.39,563.67
275,NSW,Sydney,9,20.9,187.21,2,0,0,C,0.58,8540.48,563.67
276,NSW,Sydney,2,21.6,104.02,2,0,0,D,0.77,11354.34,749.39
277,NSW,Sydney,8,18.9,77.98,3,0,0,D,0.6,9757.19,643.97
278,NSW,Sydney,7,19.7,186.21,4,0,0,B,0.94,6857.94,452.62
279,NSW,Sydney,6,12.6,113.87,5,0,1,D,0.51,9025.63,595.69
280,NSW,Sydney,9,13.9,135.92,4,0,0,B,0.83,10014.95,660.99
281,NSW,Sydney,9,17,73.35,5,1,0,C,0.64,8969.11,591.96
282,NSW,Sydney,12,22.6,119.11,1,0,1,C,0.58,7531.39,497.07
283,NSW,Sydney,4,18.6,91.51,3,0,0,B,0.75,7886.9,520.54
284,NSW,Sydney,12,17,96.06,5,0,0,C,0.9,16012.16,1056.8
285,NSW,Sydney,6,19.6,79.41,3,0,1,C,0.99,4905.39,323.76
286,NSW,Sydney,5,20.3,130.75,4,1,0,B,0.51,5030.21,331.99
287,NSW,Sydney,9,13.9,57.34,4,1,0,D,0.59,10690.86,705.6
288,NSW,Sydney,9,21.2,185.2,3,0,1,E,0.83,9741.82,642.96
289,NSW,Sydney,9,16.6,173.55,3,1,0,B,0.56,6704.12,442.47
290,NSW,Sydney,10,14,109.97,4,1,0,B,0.81,6978.25,460.56
291,NSW,Sydney,7,17.2,138.09,5,1,0,B,0.52,6714.99,443.19
292,NSW,Sydney,2,18.3,221.58,4,0,0,D,1,14404.88,950.72
293,NSW,Sydney,7,13.8,210.72,4,1,0,C,0.53,6143.89,405.5
294,NSW,Sydney,9,16,213.29,4,1,0,D,0.83,6676.93,440.68
295,NSW,Sydney,2,21.5,268.56,3,0,0,C,0.73,12027.57,793.82
296,NSW,Sydney,4,16.8,82.21,3,1,0,C,0.52,7286.58,480.91
297,NSW,Sydney,8,11.3,291.56,1,0,1,D,0.9,7311.14,482.54
298,NSW,Sydney,4,22.8,205.34,1,0,0,B,0.94,5033.34,332.2
299,NSW,Sydney,8,18,185.17,1,0,0,C,0.65,6327.78,417.63
300,NSW,Sydney,11,13.7,106.59,1,0,1,E,0.83,10597.35,699.42
301,NSW,Sydney,6,19.9,96.33,5,1,0,C,,5839.8,385.43
302,NSW,Sydney,2,20.7,214.71,4,0,0,D,0.76,14906.35,983.82
303,NSW,Sydney,9,19.7,257.32,1,0,0,A,0.96,3523.78,232.57
304,NSW,Sydney,9,16.4,91.21,5,0,0,D,0.62,14388.67,949.65
305,NSW,Sydney,7,12.3,108.55,4,0,0,E,0.8,11653.04,769.1
306,NSW,Sydney,7,20.8,117.24,1,0,0,D,0.95,5690.82,375.59
307,NSW,Sydney,3,15.8,292.88,5,0,0,C,0.72,14871.01,981.49
308,NSW,Sydney,4,15.1,179.14,1,0,0,A,0.55,,318.76
309,NSW,Sydney,10,17.6,159.63,2,0,1,C,0.54,7394.29,488.02
310,NSW,Sydeny,9,21.2,182.9,3,0,0,C,0.85,9214.8,608.18
311,NSW,Sydney,3,17.5,282.36,5,0,0,C,0.95,13646.93,900.7
312,NSW,Sydney,5,15.6,218.65,1,1,1,D,,5066.29,334.38
313,NSW,Sydney,11,13,229.39,1,0,0,B,0.69,7672.19,506.36
314,NSW,Sydney,4,16.7,80.26,4,0,1,C,0.66,9971.35,658.11
315,NSW,Sydney,9,22.4,217.14,,0,0,C,0.75,6981.02,460.75
316,NSW,Sydney,3,22.1,203.14,4,0,0,D,0.76,13889.26,916.69
317,NSW,Sydney,3,18.3,85.53,1,0,0,C,0.54,7896.23,521.15
318,NSW,Sydney,10,22.1,252.01,1,0,0,D,0.85,9071.68,598.73
319,NSW,Sydney,2,19,69.4,1,0,0,C,0.9,7302.2,481.95
320,NSW,Sydney,3,17.5,194.82,1,0,0,C,0.69,7890.18,520.75
321,NSW,Sydney,9,13.3,148.24,2,0,0,B,0.95,6730.57,444.22
322,NSW,Sydney,1,24.5,134.94,2,0,0,C,0.54,12144.54,801.54
323,NSW,Sydney,11,16.1,219.28,5,0,0,C,0.78,15792.29,1042.29
324,NSW,Sydney,4,14.7,293.01,3,0,0,A,0.6,8041.87,530.76
325,NSW,Sydney,11,16.9,90.01,2,0,0,C,0.57,10583.93,698.54
326,NSW,Sydney,10,14.2,288.98,5,0,0,E,0.77,18477.55,1219.52
327,NSW,Sydney,11,22.6,147.37,5,1,0,E,0.74,11112.56,733.43
328,NSW,Sydney,2,16.7,111.73,3,0,0,D,0.59,14147.64,933.74
329,NSW,Sydney,5,16.4,117.56,4,1,0,B,0.79,6446.54,425.47
330,NSW,Sydney,3,14.5,254.19,4,0,1,E,0.81,14482.84,955.87
